,date,client,asset,quantity,currency,price_local,rate_to_usd,price_usd,value_local,value_usd
16240,2024-01-02,Client_10,Asset_4,839.0,AUD,57.71,0.672395,38.80391545,48418.69,32556.485062549997
22178,2024-01-02,Client_5,Asset_50,190.0,AUD,87.72,0.672395,58.9824894,16666.8,11206.672986
22179,2024-01-02,Client_6,Asset_50,342.0,AUD,87.72,0.672395,58.9824894,30000.239999999998,20172.0113748
22180,2024-01-02,Client_9,Asset_50,669.0,AUD,87.72,0.672395,58.9824894,58684.68,39459.2854086
992,2024-01-03,Client_3,Asset_11,572.0,AUD,115.78,0.670729,77.65700362,66226.16,44419.80607064
993,2024-01-03,Client_8,Asset_11,603.0,AUD,115.78,0.670729,77.65700362,69815.34,46827.173182859995
994,2024-01-03,Client_9,Asset_11,840.0,AUD,115.78,0.670729,77.65700362,97255.2,65231.8830408
14354,2024-01-03,Client_2,Asset_36,532.0,AUD,59.77,0.670729,40.08947233000001,31797.640000000003,21327.599279560003
14355,2024-01-03,Client_4,Asset_36,501.0,AUD,59.77,0.670729,40.08947233000001,29944.77,20084.825637330003
14356,2024-01-03,Client_5,Asset_36,135.0,AUD,59.77,0.670729,40.08947233000001,8068.950000000001,5412.078764550001
15777,2024-01-03,Client_2,Asset_39,783.0,AUD,30.99,0.670729,20.785891709999998,24265.17,16275.353208929999
15778,2024-01-03,Client_5,Asset_39,743.0,AUD,30.99,0.670729,20.785891709999998,23025.57,15443.917540529997
15779,2024-01-03,Client_8,Asset_39,284.0,AUD,30.99,0.670729,20.785891709999998,8801.16,5903.193245639999
16241,2024-01-03,Client_4,Asset_4,120.0,AUD,58.73,0.670729,39.39191417,7047.599999999999,4727.0297004
16242,2024-01-03,Client_7,Asset_4,781.0,AUD,58.73,0.670729,39.39191417,45868.13,30765.08496677
22181,2024-01-03,Client_3,Asset_50,15.0,AUD,87.01,0.670729,58.36013029000001,1305.15,875.4019543500001
22182,2024-01-03,Client_6,Asset_50,11.0,AUD,87.01,0.670729,58.36013029000001,957.11,641.9614331900001
995,2024-01-04,Client_1,Asset_11,18.0,AUD,116.43,0.670125,78.02265375,2095.7400000000002,1404.4077675
996,2024-01-04,Client_4,Asset_11,553.0,AUD,116.43,0.670125,78.02265375,64385.79,43146.52752375
997,2024-01-04,Client_5,Asset_11,289.0,AUD,116.43,0.670125,78.02265375,33648.270000000004,22548.54693375
998,2024-01-04,Client_6,Asset_11,713.0,AUD,116.43,0.670125,78.02265375,83014.59000000001,55630.152123750006
999,2024-01-04,Client_7,Asset_11,117.0,AUD,116.43,0.670125,78.02265375,13622.310000000001,9128.65048875
1000,2024-01-04,Client_8,Asset_11,340.0,AUD,116.43,0.670125,78.02265375,39586.200000000004,26527.702275
1001,2024-01-04,Client_9,Asset_11,232.0,AUD,116.43,0.670125,78.02265375,27011.760000000002,18101.255670000002
1002,2024-01-04,Client_10,Asset_11,483.0,AUD,116.43,0.670125,78.02265375,56235.69,37684.941761250004
14357,2024-01-04,Client_3,Asset_36,216.0,AUD,59.31,0.670125,39.74511375,12810.960000000001,8584.94457
14358,2024-01-04,Client_7,Asset_36,109.0,AUD,59.31,0.670125,39.74511375,6464.79,4332.21739875
14359,2024-01-04,Client_10,Asset_36,379.0,AUD,59.31,0.670125,39.74511375,22478.49,15063.39811125
15780,2024-01-04,Client_2,Asset_39,830.0,AUD,30.98,0.670125,20.7604725,25713.4,17231.192175
15781,2024-01-04,Client_3,Asset_39,397.0,AUD,30.98,0.670125,20.7604725,12299.06,8241.9075825
15782,2024-01-04,Client_4,Asset_39,671.0,AUD,30.98,0.670125,20.7604725,20787.58,13930.2770475
15783,2024-01-04,Client_5,Asset_39,621.0,AUD,30.98,0.670125,20.7604725,19238.58,12892.2534225
15784,2024-01-04,Client_8,Asset_39,674.0,AUD,30.98,0.670125,20.7604725,20880.52,13992.558465
15785,2024-01-04,Client_9,Asset_39,470.0,AUD,30.98,0.670125,20.7604725,14560.6,9757.422074999999
15786,2024-01-04,Client_10,Asset_39,939.0,AUD,30.98,0.670125,20.7604725,29090.22,19494.0836775
16243,2024-01-04,Client_5,Asset_4,998.0,AUD,58.92,0.670125,39.483765,58802.16,39404.79747
16244,2024-01-04,Client_6,Asset_4,510.0,AUD,58.92,0.670125,39.483765,30049.2,20136.720149999997
16245,2024-01-04,Client_8,Asset_4,466.0,AUD,58.92,0.670125,39.483765,27456.72,18399.43449
16246,2024-01-04,Client_9,Asset_4,897.0,AUD,58.92,0.670125,39.483765,52851.24,35416.937205
22183,2024-01-04,Client_5,Asset_50,937.0,AUD,90.0,0.670125,60.311249999999994,84330.0,56511.64124999999
22184,2024-01-04,Client_8,Asset_50,195.0,AUD,90.0,0.670125,60.311249999999994,17550.0,11760.693749999999
22185,2024-01-04,Client_10,Asset_50,582.0,AUD,90.0,0.670125,60.311249999999994,52380.0,35101.1475
1003,2024-01-05,Client_1,Asset_11,387.0,AUD,116.43,0.67688,78.80913840000001,45058.41,30499.136560800005
1004,2024-01-05,Client_2,Asset_11,639.0,AUD,116.43,0.67688,78.80913840000001,74398.77,50359.039437600004
1005,2024-01-05,Client_5,Asset_11,938.0,AUD,116.43,0.67688,78.80913840000001,109211.34000000001,73922.97181920001
1006,2024-01-05,Client_7,Asset_11,600.0,AUD,112.71,0.67688,76.2911448,67626.0,45774.68688
1007,2024-01-05,Client_8,Asset_11,739.0,AUD,112.71,0.67688,76.2911448,83292.69,56379.1560072
14360,2024-01-05,Client_2,Asset_36,488.0,AUD,58.76,0.67688,39.7734688,28674.879999999997,19409.4527744
14361,2024-01-05,Client_4,Asset_36,162.0,AUD,58.76,0.67688,39.7734688,9519.119999999999,6443.3019456
14362,2024-01-05,Client_7,Asset_36,468.0,AUD,58.76,0.67688,39.7734688,27499.68,18613.983398400003
14363,2024-01-05,Client_8,Asset_36,917.0,AUD,58.76,0.67688,39.7734688,53882.92,36472.270889600004
15787,2024-01-05,Client_1,Asset_39,942.0,AUD,29.72,0.67688,20.1168736,27996.239999999998,18950.0949312
15788,2024-01-05,Client_4,Asset_39,578.0,AUD,29.72,0.67688,20.1168736,17178.16,11627.5529408
16247,2024-01-05,Client_1,Asset_4,446.0,AUD,58.02,0.67688,39.272577600000005,25876.920000000002,17515.569609600003
16248,2024-01-05,Client_3,Asset_4,489.0,AUD,58.02,0.67688,39.272577600000005,28371.780000000002,19204.290446400002
16249,2024-01-05,Client_9,Asset_4,513.0,AUD,58.02,0.67688,39.272577600000005,29764.260000000002,20146.832308800003
16250,2024-01-05,Client_10,Asset_4,339.0,AUD,58.02,0.67688,39.272577600000005,19668.780000000002,13313.403806400001
22186,2024-01-05,Client_2,Asset_50,323.0,AUD,89.4,0.67688,60.51307200000001,28876.2,19545.722256
22187,2024-01-05,Client_3,Asset_50,473.0,AUD,89.4,0.67688,60.51307200000001,42286.200000000004,28622.683056000005
1008,2024-01-08,Client_2,Asset_11,556.0,AUD,112.71,0.66631,75.0998001,62666.759999999995,41755.4888556
1009,2024-01-08,Client_3,Asset_11,171.0,AUD,112.71,0.66631,75.0998001,19273.41,12842.0658171
1010,2024-01-08,Client_4,Asset_11,782.0,AUD,112.71,0.66631,75.0998001,88139.22,58728.043678199996
1011,2024-01-08,Client_5,Asset_11,326.0,AUD,112.71,0.66631,75.0998001,36743.46,24482.5348326
1012,2024-01-08,Client_10,Asset_11,216.0,AUD,112.71,0.66631,75.0998001,24345.359999999997,16221.5568216
14364,2024-01-08,Client_1,Asset_36,308.0,AUD,57.42,0.66631,38.2595202,17685.36,11783.9322216
14365,2024-01-08,Client_6,Asset_36,150.0,AUD,57.42,0.66631,38.2595202,8613.0,5738.928029999999
14366,2024-01-08,Client_8,Asset_36,351.0,AUD,57.42,0.66631,38.2595202,20154.420000000002,13429.0915902
14367,2024-01-08,Client_9,Asset_36,443.0,AUD,57.42,0.66631,38.2595202,25437.06,16948.9674486
14368,2024-01-08,Client_10,Asset_36,459.0,AUD,57.42,0.66631,38.2595202,26355.780000000002,17561.1197718
15789,2024-01-08,Client_3,Asset_39,670.0,AUD,29.45,0.66631,19.622829499999998,19731.5,13147.295764999999
15790,2024-01-08,Client_6,Asset_39,747.0,AUD,29.45,0.66631,19.622829499999998,21999.149999999998,14658.253636499998
15791,2024-01-08,Client_8,Asset_39,759.0,AUD,29.45,0.66631,19.622829499999998,22352.55,14893.727590499999
16251,2024-01-08,Client_3,Asset_4,489.0,AUD,59.43,0.66631,39.5988033,29061.27,19363.8148137
16252,2024-01-08,Client_6,Asset_4,578.0,AUD,59.43,0.66631,39.5988033,34350.54,22888.1083074
16253,2024-01-08,Client_7,Asset_4,252.0,AUD,59.43,0.66631,39.5988033,14976.36,9978.8984316
16254,2024-01-08,Client_8,Asset_4,260.0,AUD,59.43,0.66631,39.5988033,15451.8,10295.688858
22188,2024-01-08,Client_1,Asset_50,507.0,AUD,89.46,0.66631,59.60809259999999,45356.219999999994,30221.302948199995
22189,2024-01-08,Client_2,Asset_50,832.0,AUD,89.46,0.66631,59.60809259999999,74430.72,49593.93304319999
22190,2024-01-08,Client_4,Asset_50,650.0,AUD,89.46,0.66631,59.60809259999999,58148.99999999999,38745.26018999999
22191,2024-01-08,Client_10,Asset_50,283.0,AUD,89.46,0.66631,59.60809259999999,25317.179999999997,16869.0902058
1013,2024-01-09,Client_1,Asset_11,717.0,AUD,114.3,0.659503,75.38119289999999,81953.09999999999,54048.31530929999
1014,2024-01-09,Client_5,Asset_11,740.0,AUD,114.3,0.659503,75.38119289999999,84582.0,55782.08274599999
1015,2024-01-09,Client_6,Asset_11,130.0,AUD,114.3,0.659503,75.38119289999999,14859.0,9799.555076999999
1016,2024-01-09,Client_7,Asset_11,250.0,AUD,114.3,0.659503,75.38119289999999,28575.0,18845.298225
1017,2024-01-09,Client_10,Asset_11,640.0,AUD,114.3,0.659503,75.38119289999999,73152.0,48243.96345599999
14369,2024-01-09,Client_8,Asset_36,492.0,AUD,59.28,0.659503,39.09533784,29165.760000000002,19234.90621728
15792,2024-01-09,Client_1,Asset_39,78.0,AUD,29.63,0.659503,19.541073889999996,2311.14,1524.2037634199996
15793,2024-01-09,Client_3,Asset_39,885.0,AUD,29.63,0.659503,19.541073889999996,26222.55,17293.850392649998
15794,2024-01-09,Client_5,Asset_39,538.0,AUD,29.63,0.659503,19.541073889999996,15940.939999999999,10513.097752819998
15795,2024-01-09,Client_6,Asset_39,48.0,AUD,29.63,0.659503,19.541073889999996,1422.24,937.9715467199999
15796,2024-01-09,Client_8,Asset_39,179.0,AUD,29.63,0.659503,19.541073889999996,5303.7699999999995,3497.8522263099994
15797,2024-01-09,Client_10,Asset_39,884.0,AUD,29.63,0.659503,19.541073889999996,26192.92,17274.309318759995
16255,2024-01-09,Client_1,Asset_4,175.0,AUD,59.46,0.659503,39.214048379999994,10405.5,6862.458466499999
16256,2024-01-09,Client_2,Asset_4,648.0,AUD,59.46,0.659503,39.214048379999994,38530.08,25410.703350239997
22192,2024-01-09,Client_2,Asset_50,681.0,AUD,89.83,0.659503,59.243154489999995,61174.229999999996,40344.588207689994
22193,2024-01-09,Client_4,Asset_50,10.0,AUD,89.83,0.659503,59.243154489999995,898.3,592.4315449
22194,2024-01-09,Client_5,Asset_50,670.0,AUD,89.83,0.659503,59.243154489999995,60186.1,39692.9135083
22195,2024-01-09,Client_6,Asset_50,329.0,AUD,89.83,0.659503,59.243154489999995,29554.07,19490.997827209998
1018,2024-01-10,Client_5,Asset_11,201.0,AUD,117.76,0.661964,77.95288064,23669.760000000002,15668.52900864
1019,2024-01-10,Client_8,Asset_11,356.0,AUD,117.76,0.661964,77.95288064,41922.560000000005,27751.22550784
1020,2024-01-10,Client_10,Asset_11,295.0,AUD,117.76,0.661964,77.95288064,34739.200000000004,22996.099788800002
14370,2024-01-10,Client_2,Asset_36,553.0,AUD,57.67,0.661964,38.17546388,31891.510000000002,21111.031525640003
14371,2024-01-10,Client_4,Asset_36,676.0,AUD,57.67,0.661964,38.17546388,38984.92,25806.613582880003
14372,2024-01-10,Client_5,Asset_36,365.0,AUD,57.67,0.661964,38.17546388,21049.55,13934.044316200001
14373,2024-01-10,Client_7,Asset_36,286.0,AUD,57.67,0.661964,38.17546388,16493.62,10918.18266968
14374,2024-01-10,Client_10,Asset_36,389.0,AUD,57.67,0.661964,38.17546388,22433.63,14850.25544932
15798,2024-01-10,Client_2,Asset_39,347.0,AUD,29.02,0.661964,19.21019528,10069.94,6665.937762160001
15799,2024-01-10,Client_3,Asset_39,530.0,AUD,29.02,0.661964,19.21019528,15380.6,10181.4034984
15800,2024-01-10,Client_7,Asset_39,128.0,AUD,29.02,0.661964,19.21019528,3714.56,2458.90499584
15801,2024-01-10,Client_9,Asset_39,519.0,AUD,29.02,0.661964,19.21019528,15061.38,9970.09135032
15802,2024-01-10,Client_10,Asset_39,515.0,AUD,29.02,0.661964,19.21019528,14945.3,9893.2505692
16257,2024-01-10,Client_4,Asset_4,797.0,AUD,59.02,0.661964,39.06911528,47038.94,31138.08487816
16258,2024-01-10,Client_5,Asset_4,51.0,AUD,59.02,0.661964,39.06911528,3010.02,1992.5248792799998
16259,2024-01-10,Client_6,Asset_4,988.0,AUD,59.02,0.661964,39.06911528,58311.76,38600.28589664
16260,2024-01-10,Client_7,Asset_4,450.0,AUD,59.02,0.661964,39.06911528,26559.0,17581.101876
16261,2024-01-10,Client_8,Asset_4,231.0,AUD,59.02,0.661964,39.06911528,13633.62,9024.96562968
16262,2024-01-10,Client_9,Asset_4,690.0,AUD,59.02,0.661964,39.06911528,40723.8,26957.6895432
16263,2024-01-10,Client_10,Asset_4,50.0,AUD,59.02,0.661964,39.06911528,2951.0,1953.4557639999998
22196,2024-01-10,Client_2,Asset_50,538.0,AUD,89.71,0.661964,59.384790439999996,48263.979999999996,31949.01725672
22197,2024-01-10,Client_9,Asset_50,440.0,AUD,89.71,0.661964,59.384790439999996,39472.399999999994,26129.307793599997
22198,2024-01-10,Client_10,Asset_50,126.0,AUD,89.71,0.661964,59.384790439999996,11303.46,7482.48359544
1021,2024-01-11,Client_1,Asset_11,564.0,AUD,119.58,0.669491,80.05773377999999,67443.12,45152.56185191999
1022,2024-01-11,Client_2,Asset_11,559.0,AUD,119.58,0.669491,80.05773377999999,66845.22,44752.27318302
1023,2024-01-11,Client_3,Asset_11,513.0,AUD,119.58,0.669491,80.05773377999999,61344.54,41069.617429139995
1024,2024-01-11,Client_6,Asset_11,835.0,AUD,119.58,0.669491,80.05773377999999,99849.3,66848.20770629999
1025,2024-01-11,Client_8,Asset_11,631.0,AUD,119.58,0.669491,80.05773377999999,75454.98,50516.43001518
14375,2024-01-11,Client_1,Asset_36,873.0,AUD,56.78,0.669491,38.01369898,49568.94,33185.95920954
14376,2024-01-11,Client_7,Asset_36,775.0,AUD,56.78,0.669491,38.01369898,44004.5,29460.616709500002
15803,2024-01-11,Client_1,Asset_39,258.0,AUD,28.83,0.669491,19.301425529999996,7438.139999999999,4979.767786739999
15804,2024-01-11,Client_4,Asset_39,281.0,AUD,28.83,0.669491,19.301425529999996,8101.23,5423.700573929998
15805,2024-01-11,Client_6,Asset_39,875.0,AUD,28.83,0.669491,19.301425529999996,25226.25,16888.747338749996
15806,2024-01-11,Client_7,Asset_39,301.0,AUD,28.83,0.669491,19.301425529999996,8677.83,5809.7290845299985
16264,2024-01-11,Client_6,Asset_4,441.0,AUD,57.89,0.669491,38.75683399,25529.49,17091.763789589997
16265,2024-01-11,Client_7,Asset_4,983.0,AUD,57.89,0.669491,38.75683399,56905.87,38097.96781217
22199,2024-01-11,Client_3,Asset_50,40.0,AUD,91.55,0.669491,61.29190104999999,3662.0,2451.6760419999996
22200,2024-01-11,Client_6,Asset_50,525.0,AUD,91.55,0.669491,61.29190104999999,48063.75,32178.248051249997
22201,2024-01-11,Client_7,Asset_50,499.0,AUD,91.55,0.669491,61.29190104999999,45683.45,30584.658623949996
22202,2024-01-11,Client_10,Asset_50,709.0,AUD,91.55,0.669491,61.29190104999999,64908.95,43455.95784444999
1026,2024-01-12,Client_1,Asset_11,602.0,AUD,124.18,0.670223,83.22829214000001,74756.36,50103.43186828001
1027,2024-01-12,Client_2,Asset_11,350.0,AUD,124.18,0.670223,83.22829214000001,43463.0,29129.902249000002
1028,2024-01-12,Client_3,Asset_11,109.0,AUD,124.18,0.670223,83.22829214000001,13535.62,9071.88384326
1029,2024-01-12,Client_5,Asset_11,45.0,AUD,124.18,0.670223,83.22829214000001,5588.1,3745.2731463000005
1030,2024-01-12,Client_6,Asset_11,104.0,AUD,124.18,0.670223,83.22829214000001,12914.720000000001,8655.742382560002
1031,2024-01-12,Client_7,Asset_11,199.0,AUD,124.18,0.670223,83.22829214000001,24711.82,16562.430135860002
1032,2024-01-12,Client_10,Asset_11,349.0,AUD,124.18,0.670223,83.22829214000001,43338.82,29046.673956860002
14377,2024-01-12,Client_3,Asset_36,306.0,AUD,57.86,0.670223,38.77910278,17705.16,11866.40545068
14378,2024-01-12,Client_5,Asset_36,16.0,AUD,57.86,0.670223,38.77910278,925.76,620.46564448
14379,2024-01-12,Client_6,Asset_36,740.0,AUD,57.86,0.670223,38.77910278,42816.4,28696.536057200003
14380,2024-01-12,Client_7,Asset_36,309.0,AUD,57.86,0.670223,38.77910278,17878.74,11982.74275902
14381,2024-01-12,Client_8,Asset_36,291.0,AUD,57.86,0.670223,38.77910278,16837.26,11284.718908980001
14382,2024-01-12,Client_9,Asset_36,782.0,AUD,57.86,0.670223,38.77910278,45246.52,30325.25837396
15807,2024-01-12,Client_1,Asset_39,612.0,AUD,28.52,0.670223,19.11475996,17454.239999999998,11698.23309552
15808,2024-01-12,Client_2,Asset_39,435.0,AUD,28.52,0.670223,19.11475996,12406.199999999999,8314.9205826
15809,2024-01-12,Client_4,Asset_39,57.0,AUD,28.52,0.670223,19.11475996,1625.6399999999999,1089.54131772
15810,2024-01-12,Client_6,Asset_39,619.0,AUD,28.52,0.670223,19.11475996,17653.88,11832.03641524
15811,2024-01-12,Client_8,Asset_39,601.0,AUD,28.52,0.670223,19.11475996,17140.52,11487.97073596
16266,2024-01-12,Client_3,Asset_4,699.0,AUD,57.43,0.670223,38.49090689,40143.57,26905.14391611
16267,2024-01-12,Client_6,Asset_4,355.0,AUD,57.43,0.670223,38.49090689,20387.65,13664.271945949999
16268,2024-01-12,Client_7,Asset_4,571.0,AUD,57.43,0.670223,38.49090689,32792.53,21978.30783419
22203,2024-01-12,Client_1,Asset_50,123.0,AUD,93.27,0.670223,62.511699209999996,11472.21,7688.9390028299995
22204,2024-01-12,Client_2,Asset_50,193.0,AUD,93.27,0.670223,62.511699209999996,18001.11,12064.757947529999
22205,2024-01-12,Client_5,Asset_50,704.0,AUD,93.27,0.670223,62.511699209999996,65662.08,44008.236243839994
22206,2024-01-12,Client_8,Asset_50,996.0,AUD,93.27,0.670223,62.511699209999996,92896.92,62261.652413159994
1033,2024-01-15,Client_1,Asset_11,553.0,AUD,122.53,0.661314,81.03080442,67759.09,44810.03484426
1034,2024-01-15,Client_9,Asset_11,853.0,AUD,122.53,0.661314,81.03080442,104518.09,69119.27617026
1035,2024-01-15,Client_10,Asset_11,983.0,AUD,122.53,0.661314,81.03080442,120446.99,79653.28074485999
14383,2024-01-15,Client_1,Asset_36,523.0,AUD,58.08,0.661314,38.40911712,30375.84,20087.96825376
14384,2024-01-15,Client_4,Asset_36,119.0,AUD,58.08,0.661314,38.40911712,6911.5199999999995,4570.68493728
14385,2024-01-15,Client_6,Asset_36,327.0,AUD,58.08,0.661314,38.40911712,18992.16,12559.78129824
14386,2024-01-15,Client_7,Asset_36,829.0,AUD,58.08,0.661314,38.40911712,48148.32,31841.158092479996
14387,2024-01-15,Client_8,Asset_36,903.0,AUD,58.08,0.661314,38.40911712,52446.24,34683.432759359996
14388,2024-01-15,Client_10,Asset_36,819.0,AUD,58.08,0.661314,38.40911712,47567.52,31457.06692128
15812,2024-01-15,Client_2,Asset_39,727.0,AUD,28.52,0.661314,18.86067528,20734.04,13711.71092856
15813,2024-01-15,Client_3,Asset_39,380.0,AUD,28.52,0.661314,18.86067528,10837.6,7167.0566063999995
15814,2024-01-15,Client_10,Asset_39,863.0,AUD,28.52,0.661314,18.86067528,24612.76,16276.762766639999
16269,2024-01-15,Client_1,Asset_4,610.0,AUD,61.06,0.661314,40.37983284,37246.6,24631.6980324
16270,2024-01-15,Client_2,Asset_4,864.0,AUD,61.06,0.661314,40.37983284,52755.840000000004,34888.175573759996
16271,2024-01-15,Client_6,Asset_4,68.0,AUD,61.06,0.661314,40.37983284,4152.08,2745.8286331199997
16272,2024-01-15,Client_8,Asset_4,791.0,AUD,61.06,0.661314,40.37983284,48298.46,31940.44777644
16273,2024-01-15,Client_10,Asset_4,794.0,AUD,61.06,0.661314,40.37983284,48481.64,32061.58727496
22207,2024-01-15,Client_1,Asset_50,244.0,AUD,91.94,0.661314,60.80120915999999,22433.36,14835.495035039998
22208,2024-01-15,Client_2,Asset_50,97.0,AUD,91.94,0.661314,60.80120915999999,8918.18,5897.717288519999
22209,2024-01-15,Client_5,Asset_50,853.0,AUD,91.94,0.661314,60.80120915999999,78424.81999999999,51863.43141347999
22210,2024-01-15,Client_8,Asset_50,653.0,AUD,91.94,0.661314,60.80120915999999,60036.82,39703.189581479994
22211,2024-01-15,Client_9,Asset_50,41.0,AUD,91.94,0.661314,60.80120915999999,3769.54,2492.8495755599997
1036,2024-01-16,Client_5,Asset_11,423.0,AUD,120.08,0.674646,81.01149167999999,50793.84,34267.86098064
1037,2024-01-16,Client_9,Asset_11,438.0,AUD,120.08,0.674646,81.01149167999999,52595.04,35483.033355839994
14389,2024-01-16,Client_4,Asset_36,113.0,AUD,58.71,0.674646,39.60846666,6634.2300000000005,4475.75673258
14390,2024-01-16,Client_5,Asset_36,832.0,AUD,58.71,0.674646,39.60846666,48846.72,32954.244261119995
14391,2024-01-16,Client_6,Asset_36,171.0,AUD,58.71,0.674646,39.60846666,10039.41,6773.04779886
14392,2024-01-16,Client_8,Asset_36,120.0,AUD,58.71,0.674646,39.60846666,7045.2,4753.0159992
15815,2024-01-16,Client_1,Asset_39,956.0,AUD,28.04,0.674646,18.917073839999997,26806.239999999998,18084.722591039997
15816,2024-01-16,Client_7,Asset_39,997.0,AUD,28.04,0.674646,18.917073839999997,27955.879999999997,18860.322618479997
15817,2024-01-16,Client_8,Asset_39,906.0,AUD,28.04,0.674646,18.917073839999997,25404.239999999998,17138.868899039997
15818,2024-01-16,Client_10,Asset_39,999.0,AUD,28.04,0.674646,18.917073839999997,28011.96,18898.15676616
16274,2024-01-16,Client_3,Asset_4,519.0,AUD,60.43,0.674646,40.76885778,31363.17,21159.03718782
16275,2024-01-16,Client_5,Asset_4,256.0,AUD,60.43,0.674646,40.76885778,15470.08,10436.82759168
16276,2024-01-16,Client_6,Asset_4,577.0,AUD,60.43,0.674646,40.76885778,34868.11,23523.63093906
16277,2024-01-16,Client_7,Asset_4,500.0,AUD,60.43,0.674646,40.76885778,30215.0,20384.42889
22212,2024-01-16,Client_7,Asset_50,34.0,AUD,91.52,0.674646,61.743601919999996,3111.68,2099.28246528
22213,2024-01-16,Client_8,Asset_50,78.0,AUD,91.52,0.674646,61.743601919999996,7138.5599999999995,4816.0009497599995
1038,2024-01-17,Client_2,Asset_11,470.0,AUD,119.63,0.668401,79.96081163,56226.1,37581.5814661
1039,2024-01-17,Client_3,Asset_11,837.0,AUD,119.63,0.668401,79.96081163,100130.31,66927.19933430999
1040,2024-01-17,Client_5,Asset_11,906.0,AUD,119.63,0.668401,79.96081163,108384.78,72444.49533677999
