date,asset,currency,price,notes
2024-03-19,Asset_1,EUR,230.12,
2024-03-20,Asset_1,EUR,222.82,
20240321,Asset_1,EUR,218.38,
2024-03-22,Asset_1,EUR,221.82,
2024-03-25,Asset_1,EUR,219.07,
2024-03-26,Asset_1,EUR,214.54,
2024-03-27,Asset_1,EUR,215.01,
2024-03-28,Asset_1,eur ,214.49,
2024-03-29,Asset_1,EUR,225.6,
2024-04-01,Asset_1,EUR,231.54,
2024-04-02,Asset_1,EUR,227.0,
2024-04-03,Asset_1,EUR,235.29,
2024-04-04,Asset_1,EUR,237.93,
2024-04-05,asset_1 ,EUR,238.34,
2024-04-08,Asset_1,EUR,240.85,
2024-04-09,Asset_1,EUR,247.37,
2024-04-10,asset_1 ,EUR,248.58,
2024-04-11,asset_1,EUR,244.01,
2024-04-12,Asset_1,EUR,256.76,
2024-04-15,Asset_1,EUR,260.6,
2024-04-16,Asset_1,EUR,269.52,
2024-04-17,Asset_1,EUR,253.66,
2024-04-18,Asset_1,EUR,252.61,
2024-04-19,Asset_1,EUR,251.17,
2024-04-22,Asset_1,EUR,256.33,
2024-04-23,Asset_1,EUR,257.85,
2024-04-24,Asset_1,EUR,261.39,
2024-04-25,asset_1 ,EUR,255.95,
2024-04-26,Asset_1,EUR,251.99,
2024-04-29,Asset_1,EUR,247.17,
2024-04-30,Asset_1,EUR,238.17,
05/01/2024,Asset_1,EUR,235.78,
2024-05-02,Asset_1,EUR,236.93,
05/03/2024,ASSET_1 ,EUR,241.03,
2024-05-06,Asset_1,EUR,240.24,
2024-05-07,Asset_1,EUR,235.63,
2024-05-08,Asset_1,EUR,235.12,
2024-05-09,Asset_1,EUR,231.35,
2024-05-10,Asset_1,EUR,236.22,
13-05-2024,Asset_1,EUR,232.22,
2024-05-14,Asset_1,EUR,230.74,
05/15/2024,ASSET_1 ,EUR,237.03,
2024-05-16,Asset_1,EUR,235.96,
2024-05-17,Asset_1,EUR,244.21,
2024-05-20,Asset_1,EUR,237.9,
2024-05-21,Asset_1,EUR,240.12,
2024-05-22,Asset_1,eur,242.53,
2024-05-23,Asset_1,EUR,240.94,
2024-05-24,Asset_1,EUR,241.69,
2024-05-27,Asset_1,EUR,238.71,
2024-05-28,Asset_1,EUR,238.46,
20240529,Asset_1,EUR,240.0,
2024-05-30,Asset_1,EUR,234.13,
31-05-2024,Asset_1,EUR,241.71,
2024-06-03,ASSET_1 ,EUR,243.0,
2024-06-04,asset_1,eur,244.75,
2024-06-05,Asset_1,EUR,246.75,
2024-06-06,Asset_1,EUR,238.04,
2024-06-07,Asset_1,EUR,238.29,
2024-06-10,Asset_1,EUR,227.99,
2024-06-11,Asset_1,EUR,234.1,
2024-06-12,Asset_1,EUR,236.79,Updated
2024-06-13,asset_1,EUR,241.19,
2024-06-14,Asset_1,EUR,239.65,
2024-06-17,Asset_1,EUR,245.15,
20240618,asset_1 ,EUR,245.0,
2024-06-19,Asset_1,eur ,245.09,
20-06-2024,Asset_1,EUR,243.62,
2024-06-21,Asset_1,EUR,251.52,
2024-06-24,Asset_1,EUR,260.7,
2024-06-25,ASSET_1,EUR,268.42,
2024-06-26,Asset_1,EUR,262.8,
2024-06-27,ASSET_1,EUR,261.45,
2024-06-28,Asset_1,EUR,261.21,
2024-01-01,Asset_2,USD,282.34,
2024-01-02,Asset_2,USD,296.98,
2024-01-03,asset_2,USD,295.38,
2024-01-04,Asset_2,USD,291.6,
2024-01-05,Asset_2,usd,289.14,
2024-01-08,ASSET_2 ,USD,292.12,
2024-01-09,Asset_2,USD,291.16,
2024-01-10,Asset_2,USD,277.74,
2024-01-11,Asset_2,USD,277.6,
2024-01-12,Asset_2,usd ,271.16,
2024-01-15,Asset_2,USD,275.85,
20240116,Asset_2,USD,279.59,
01/17/2024,Asset_2,USD,285.1,
2024-01-18,Asset_2,USD,282.41,
2024-01-19,Asset_2,USD,290.58,
2024-01-22,Asset_2,USD,300.36,
20240123,Asset_2,USD,304.05,
2024-01-24,Asset_2,USD,307.13,
2024-01-25,Asset_2,USD,309.69,
2024-01-26,Asset_2,USD,309.61,
2024-01-29,Asset_2,USD,305.7,
2024-01-30,Asset_2,USD,296.86,
2024-01-31,Asset_2,USD,298.25,
2024-02-01,Asset_2,USD,302.08,
2024-02-02,Asset_2,USD,294.71,
2024-02-05,Asset_2,USD ,293.33,
20240206,Asset_2,USD,290.7,
2024-02-07,Asset_2,USD,292.25,
2024-02-08,Asset_2,USD,281.81,
2024-02-09,Asset_2,USD,286.52,
2024-02-12,Asset_2,USD,283.6,
2024-02-13,asset_2 ,USD,282.11,
02/14/2024,Asset_2,USD,288.15,
2024-02-15,Asset_2,USD,290.19,
20240216,Asset_2,USD,292.69,
2024-02-19,Asset_2,USD,294.07,
2024-02-20,Asset_2,USD,290.95,
2024-02-21,Asset_2,USD,282.33,
2024-02-22,Asset_2,USD,274.66,
20240223,Asset_2,USD,269.74,
2024-02-26,Asset_2,USD,-267.15,
2024-02-27,Asset_2,USD,264.29,
2024-02-28,Asset_2,USD,260.52,
20240229,Asset_2,USD,256.89,
2024-03-01,Asset_2,USD,261.56,
2024-03-04,Asset_2,USD,273.54,Check
2024-03-05,asset_2 ,USD,263.84,
2024-03-06,Asset_2,USD,257.1,
2024-03-07,Asset_2,USD,257.62,
2024-03-08,Asset_2,USD,254.21,
2024-03-11,Asset_2,USD,258.18,
2024-03-12,Asset_2,USD,260.06,
20240313,Asset_2,USD,263.34,
03/14/2024,Asset_2,USD,265.08,
2024-03-15,Asset_2,USD,269.57,
2024-03-18,asset_2 ,USD,264.07,
2024-03-19,asset_2 ,USD,257.89,
2024-03-20,Asset_2,USD,261.12,
2024-03-21,Asset_2,USD,260.79,
2024-03-22,Asset_2,USD,258.96,Updated
2024-03-25,Asset_2,USD,,
2024-03-26,Asset_2,USD,261.19,
2024-03-27,Asset_2,USD,260.65,
2024-03-28,ASSET_2,USD,255.53,
2024-03-29,Asset_2,USD,272.49,
2024-04-01,Asset_2,USD,271.54,
2024-04-02,Asset_2,usd,281.72,
04/03/2024,Asset_2,USD,285.22,
2024-04-04,Asset_2,USD,282.42,
2024-04-05,Asset_2,USD,285.18,
2024-04-08,Asset_2,USD,280.36,
2024-04-09,Asset_2,USD,277.97,
10-04-2024,Asset_2,USD,279.22,Check
2024-04-11,Asset_2,USD,264.77,
2024-04-12,Asset_2,USD,261.94,
2024-04-15,Asset_2,USD,272.54,
2024-04-16,Asset_2,USD,268.71,
2024-04-17,Asset_2,USD,269.2,
2024-04-18,Asset_2,USD,270.26,
2024-04-19,ASSET_2,USD,278.28,
2024-04-22,Asset_2,USD,281.7,
2024-04-23,Asset_2,USD,285.33,
2024-04-24,Asset_2,usd,289.04,
2024-04-25,Asset_2,USD ,295.09,
2024-04-26,Asset_2,USD,297.65,
2024-04-29,Asset_2,USD,300.2,
2024-04-30,Asset_2,USD,289.55,
2024-05-01,Asset_2,USD,284.52,
2024-05-02,asset_2 ,USD,289.04,
2024-05-03,Asset_2,USD,280.68,
2024-05-06,Asset_2,USD,285.58,
2024-05-07,Asset_2,USD,295.67,
2024-05-08,Asset_2,USD,301.68,
2024-05-09,Asset_2,USD,302.28,
2024-05-10,Asset_2,USD,305.83,
2024-05-13,Asset_2,USD,311.45,
2024-05-14,Asset_2,USD,307.19,
2024-05-15,ASSET_2 ,USD,314.37,
2024-05-16,Asset_2,USD,295.71,
2024-05-17,Asset_2,USD ,298.2,
2024-05-20,Asset_2,USD,295.0,
2024-05-21,Asset_2,USD,296.37,
2024-05-22,Asset_2,USD,298.36,
2024-05-23,Asset_2,USD,291.99,
2024-05-24,Asset_2,usd,295.35,
2024-05-27,Asset_2,USD,295.0,
2024-05-28,Asset_2,USD,300.04,
2024-05-29,ASSET_2,USD,293.15,
2024-05-30,Asset_2,USD,293.3,
2024-05-31,Asset_2,USD,297.11,
2024-06-03,Asset_2,USD,292.93,
2024-06-04,Asset_2,USD ,,
20240605,Asset_2,USD,292.96,
2024-06-06,ASSET_2,USD,295.72,
2024-06-07,Asset_2,USD,299.31,
2024-06-10,Asset_2,USD,294.85,
2024-06-11,Asset_2,USD,297.76,
2024-06-12,Asset_2,USD,296.05,
2024-06-13,Asset_2,USD,298.31,
2024-06-14,ASSET_2,USD,291.27,
2024-06-17,Asset_2,USD,299.34,
2024-06-18,Asset_2,USD,301.79,
2024-06-19,Asset_2,USD,303.69,
2024-06-20,Asset_2,USD,301.24,
2024-06-21,Asset_2,USD,291.28,
2024-06-24,Asset_2,USD,293.04,
2024-06-25,Asset_2,USD,296.77,
2024-06-26,Asset_2,USD,306.91,
2024-06-27,Asset_2,USD,304.64,
2024-06-28,Asset_2,USD,302.42,
20240101,Asset_3,EUR,,
2024-01-02,Asset_3,EUR,163.27,
2024-01-03,Asset_3,EUR,157.87,
2024-01-04,Asset_3,EUR,161.83,
2024-01-05,Asset_3,EUR,163.36,
2024-01-08,Asset_3,EUR,164.19,
2024-01-09,Asset_3,EUR,166.51,
2024-01-10,Asset_3,EUR,173.92,
2024-01-11,Asset_3,EUR,171.11,
2024-01-12,Asset_3,eur ,168.59,
2024-01-15,Asset_3,EUR,163.86,
2024-01-16,Asset_3,EUR,166.02,
2024-01-17,asset_3 ,eur ,162.69,
01/18/2024,Asset_3,EUR,168.23,
2024-01-19,Asset_3,EUR,164.53,
2024-01-22,Asset_3,EUR,167.73,
2024-01-23,Asset_3,EUR,168.92,
2024-01-24,Asset_3,EUR,165.98,
2024-01-25,Asset_3,EUR,171.17,
2024-01-26,asset_3,EUR,175.37,
2024-01-29,Asset_3,EUR,175.2,
2024-01-30,asset_3,EUR,169.28,
2024-01-31,Asset_3,EUR,170.28,
2024-02-01,Asset_3,EUR,170.1,
02/02/2024,Asset_3,EUR,171.0,
02/05/2024,Asset_3,EUR,173.95,
2024-02-06,Asset_3,EUR,167.45,
2024-02-07,Asset_3,EUR,168.43,
2024-02-08,Asset_3,EUR,165.5,
02/09/2024,Asset_3,eur,168.47,
2024-02-12,Asset_3,EUR,172.08,
13-02-2024,Asset_3,EUR,167.62,
2024-02-14,Asset_3,EUR,167.23,
2024-02-15,Asset_3,EUR,163.09,
2024-02-16,Asset_3,EUR,156.71,
2024-02-19,Asset_3,EUR,157.44,
2024-02-20,Asset_3,EUR,159.82,Check
2024-02-21,Asset_3,EUR,163.61,
20240222,Asset_3,EUR,161.83,
2024-02-23,Asset_3,EUR,165.48,
02/26/2024,Asset_3,EUR,161.7,
2024-02-27,Asset_3,EUR,159.83,
2024-02-28,Asset_3,EUR,157.79,
2024-02-29,Asset_3,EUR,162.09,
2024-03-01,Asset_3,EUR,159.91,
2024-03-04,Asset_3,EUR,161.56,
2024-03-05,Asset_3,EUR,167.22,
2024-03-06,Asset_3,EUR,163.59,
2024-03-07,Asset_3,EUR,163.52,
2024-03-08,Asset_3,EUR,161.34,
2024-03-11,Asset_3,EUR,159.28,
2024-03-12,Asset_3,EUR,155.97,
2024-03-13,Asset_3,EUR,160.92,
2024-03-14,Asset_3,EUR,162.84,
2024-03-15,Asset_3,EUR,159.74,
2024-03-18,Asset_3,EUR,160.79,
2024-03-19,Asset_3,EUR,155.12,
2024-03-20,Asset_3,EUR,153.64,
21-03-2024,Asset_3,eur ,150.45,
2024-03-22,Asset_3,EUR,148.3,
2024-03-25,Asset_3,EUR,154.87,
03/26/2024,ASSET_3,EUR,153.56,
2024-03-27,Asset_3,EUR,157.45,
2024-03-28,Asset_3,EUR,158.15,
2024-03-29,Asset_3,EUR,161.44,
2024-04-01,Asset_3,eur,160.51,
2024-04-02,Asset_3,EUR,156.11,
04/03/2024,Asset_3,EUR,159.44,
04-04-2024,ASSET_3,EUR,158.95,
2024-04-05,Asset_3,EUR,158.03,
2024-04-08,Asset_3,EUR,157.49,
2024-04-09,Asset_3,EUR,157.72,
2024-04-10,ASSET_3,EUR,158.47,
2024-04-11,Asset_3,EUR,158.09,
2024-04-12,Asset_3,EUR,154.93,
20240415,Asset_3,EUR,155.82,
2024-04-16,Asset_3,EUR,154.67,
2024-04-17,Asset_3,EUR,155.21,
2024-04-18,Asset_3,EUR,155.63,
2024-04-19,Asset_3,EUR,154.92,
2024-04-22,Asset_3,EUR,163.5,
2024-04-23,Asset_3,EUR,163.2,
2024-04-24,Asset_3,EUR,165.76,
2024-04-25,asset_3,EUR,159.38,
2024-04-26,Asset_3,EUR,155.51,
2024-04-29,Asset_3,EUR,153.1,
2024-04-30,Asset_3,EUR,152.39,
2024-05-01,Asset_3,EUR,159.06,
2024-05-02,Asset_3,EUR,160.68,
2024-05-03,Asset_3,EUR,159.18,
05/06/2024,Asset_3,EUR,157.65,
05/07/2024,asset_3,EUR,157.61,
2024-05-08,Asset_3,EUR,159.06,
2024-05-09,Asset_3,EUR,158.08,
2024-05-10,Asset_3,EUR,162.27,
2024-05-13,Asset_3,EUR,162.26,
2024-05-14,asset_3 ,EUR,166.03,
2024-05-15,Asset_3,EUR,162.46,
2024-05-16,Asset_3,EUR,160.11,
2024-05-17,Asset_3,EUR,164.48,
2024-05-20,Asset_3,EUR,,
2024-05-21,Asset_3,EUR,166.78,
2024-05-22,Asset_3,EUR,168.01,
2024-05-23,Asset_3,EUR,164.48,
2024-05-24,Asset_3,EUR,165.27,
2024-05-27,Asset_3,EUR,167.56,
2024-05-28,Asset_3,EUR,166.55,
2024-05-29,Asset_3,EUR,166.1,
2024-05-30,Asset_3,EUR,161.89,
2024-05-31,asset_3,EUR,169.87,
2024-06-03,Asset_3,EUR,170.05,
2024-06-04,Asset_3,EUR,171.43,
2024-06-05,asset_3,EUR,166.61,
2024-06-06,Asset_3,EUR,173.29,
2024-06-07,ASSET_3,EUR,172.4,
2024-06-10,Asset_3,EUR,171.03,
2024-06-11,Asset_3,eur ,167.18,
2024-06-12,asset_3,EUR,167.43,
2024-06-13,Asset_3,eur ,165.04,
2024-06-14,Asset_3,EUR,165.84,
06/17/2024,Asset_3,EUR,167.32,
2024-06-18,Asset_3,EUR,165.31,
2024-06-19,Asset_3,EUR,166.27,
20240620,Asset_3,EUR,170.37,
2024-06-21,Asset_3,EUR,173.53,
2024-06-24,Asset_3,eur,176.93,
2024-06-25,Asset_3,EUR,172.09,
06/26/2024,Asset_3,EUR,171.31,
2024-06-27,Asset_3,EUR,165.81,
2024-06-28,Asset_3,eur,164.36,
2024-01-01,Asset_4,AUD,59.35,
02-01-2024,Asset_4,AUD,57.71,
20240103,Asset_4,AUD,58.73,
2024-01-04,Asset_4,AUD,58.92,
2024-01-05,Asset_4,AUD,58.02,
2024-01-08,Asset_4,AUD,59.43,
09-01-2024,Asset_4,AUD,59.46,
2024-01-10,Asset_4,AUD,59.02,
2024-01-11,Asset_4,AUD,57.89,
2024-01-12,Asset_4,AUD ,57.43,
2024-01-15,Asset_4,AUD,61.06,
2024-01-16,Asset_4,aud,60.43,
2024-01-17,Asset_4,AUD,60.55,
2024-01-18,Asset_4,AUD,60.47,
2024-01-19,Asset_4,AUD,64.6,
2024-01-22,Asset_4,AUD,64430.00000000001,
2024-01-23,Asset_4,AUD,67.25,
2024-01-24,ASSET_4 ,AUD,66.04,
2024-01-25,Asset_4,AUD,66.79,
2024-01-26,Asset_4,AUD,67.44,
2024-01-29,Asset_4,AUD,65.59,
2024-01-30,Asset_4,AUD,64.07,
2024-01-31,Asset_4,AUD,61.76,
2024-02-01,Asset_4,AUD,62.42,
2024-02-02,asset_4 ,AUD,64.27,
2024-02-05,Asset_4,AUD,61.91,
02/06/2024,Asset_4,AUD,60.59,
2024-02-07,ASSET_4 ,AUD,60.37,
2024-02-08,Asset_4,AUD,61.34,
2024-02-09,Asset_4,AUD,63.27,
2024-02-12,Asset_4,AUD,62.62,
2024-02-13,Asset_4,AUD,64.34,
2024-02-14,Asset_4,aud,64.33,
2024-02-15,Asset_4,AUD,64.46,
02/16/2024,Asset_4,AUD,66.48,
2024-02-19,Asset_4,AUD ,67.38,
2024-02-20,asset_4 ,AUD,70.28,
2024-02-21,Asset_4,AUD,71.31,
2024-02-22,Asset_4,AUD,69.9,
2024-02-23,Asset_4,AUD,67.92,
2024-02-26,Asset_4,AUD,70.4,
2024-02-27,Asset_4,AUD,71.73,
2024-02-28,Asset_4,AUD,72.5,
2024-02-29,Asset_4,AUD,72.71,
2024-03-01,Asset_4,AUD,73.45,
20240304,Asset_4,AUD,74.01,
2024-03-05,Asset_4,AUD,72.62,
2024-03-06,Asset_4,AUD,73.95,
2024-03-07,Asset_4,AUD,75.27,
2024-03-08,Asset_4,AUD,74.14,
2024-03-11,Asset_4,AUD,75.36,
2024-03-12,Asset_4,AUD,78.79,
20240313,Asset_4,AUD,78.03,
2024-03-14,Asset_4,AUD,77.41,
2024-03-15,Asset_4,AUD,76.78,
2024-03-18,Asset_4,AUD,75.17,
2024-03-19,asset_4,AUD,74.94,
20240320,Asset_4,aud ,73.73,
2024-03-21,Asset_4,AUD,72.81,
2024-03-22,asset_4,AUD,73.16,
2024-03-25,Asset_4,AUD,73.42,
2024-03-26,Asset_4,AUD,73.02,
2024-03-27,Asset_4,AUD,72.95,
2024-03-28,Asset_4,AUD,72.13,
2024-03-29,Asset_4,AUD,71.88,
2024-04-01,Asset_4,AUD,72.87,
2024-04-02,Asset_4,AUD,71.47,
2024-04-03,Asset_4,AUD,71.54,
2024-04-04,Asset_4,AUD,73.87,
2024-04-05,Asset_4,AUD,75.45,
2024-04-08,asset_4,AUD,78.72,
2024-04-09,Asset_4,AUD,79.44,
10-04-2024,Asset_4,AUD,80.1,
2024-04-11,Asset_4,AUD,79.28,
2024-04-12,Asset_4,AUD,78.69,
04/15/2024,Asset_4,AUD,78.54,
2024-04-16,Asset_4,AUD,80.82,
20240417,Asset_4,AUD,81.1,
2024-04-18,Asset_4,AUD,79.81,
2024-04-19,Asset_4,AUD,82.19,
2024-04-22,Asset_4,AUD,82.72,
2024-04-23,Asset_4,AUD,80.74,
2024-04-24,Asset_4,AUD,81.24,
2024-04-25,asset_4 ,AUD,,
20240426,Asset_4,AUD,78.84,
2024-04-29,Asset_4,AUD ,77.3,
30-04-2024,Asset_4,AUD,73.83,
2024-05-01,Asset_4,AUD,71.47,
2024-05-02,Asset_4,AUD,68.52,
03-05-2024,ASSET_4,AUD,69.04,
2024-05-06,Asset_4,AUD,68.11,
2024-05-07,Asset_4,AUD,65.96,
2024-05-08,Asset_4,AUD,65.01,
2024-05-09,Asset_4,AUD,64.93,
2024-05-10,Asset_4,aud ,67.1,
2024-05-13,Asset_4,AUD,66.15,
2024-05-14,Asset_4,AUD,66.94,
2024-05-15,Asset_4,AUD,67.21,
2024-05-16,asset_4 ,AUD,68.39,
2024-05-17,Asset_4,AUD,67.36,
05/20/2024,Asset_4,AUD,68.18,
2024-05-21,Asset_4,AUD,68.74,
2024-05-22,Asset_4,AUD,70.44,
2024-05-23,Asset_4,AUD,70.6,
2024-05-24,Asset_4,AUD,71.24,
2024-05-27,Asset_4,AUD,71.18,
2024-05-28,Asset_4,AUD,70.07,
2024-05-29,Asset_4,AUD,69.89,
20240530,Asset_4,AUD,70.21,
2024-05-31,Asset_4,AUD,70.24,
2024-06-03,Asset_4,AUD,71.98,
2024-06-04,Asset_4,AUD,71.2,
2024-06-05,Asset_4,AUD,73.75,
2024-06-06,Asset_4,AUD,73.81,
2024-06-07,Asset_4,AUD,72.33,
2024-06-10,Asset_4,AUD ,72.35,
2024-06-11,Asset_4,AUD,69.75,
2024-06-12,Asset_4,AUD,69.08,
2024-06-13,Asset_4,AUD,68.78,
2024-06-14,Asset_4,AUD,66.4,
2024-06-17,Asset_4,AUD,65.81,
2024-06-18,Asset_4,AUD,64.25,
2024-06-19,Asset_4,AUD,63.95,
2024-06-20,Asset_4,AUD,62.75,
2024-06-21,asset_4,AUD ,63.4,
2024-06-24,Asset_4,AUD,62.26,Updated
20240625,Asset_4,AUD,0.0,
2024-06-26,Asset_4,AUD,62.22,
2024-06-27,Asset_4,AUD,63.66,
2024-06-28,Asset_4,AUD,62.52,
2024-01-01,Asset_5,USD,94.81,
2024-01-02,Asset_5,USD,95.89,
2024-01-03,Asset_5,USD,98.52,
2024-01-04,Asset_5,USD,97.17,
2024-01-05,Asset_5,USD,96.71,
2024-01-08,Asset_5,USD,95.75,
2024-01-09,Asset_5,USD,95.96,
2024-01-10,Asset_5,USD,96.23,
2024-01-11,Asset_5,USD,95.87,
2024-01-12,Asset_5,USD,95.99,
2024-01-15,Asset_5,USD,95.85,
2024-01-16,Asset_5,USD,94.29,
2024-01-17,Asset_5,USD,92.98,
2024-01-18,Asset_5,USD,94.03,
2024-01-19,Asset_5,USD,95.55,
2024-01-22,Asset_5,usd,93.22,
2024-01-23,Asset_5,USD,94.56,
2024-01-24,Asset_5,USD,91.54,
2024-01-25,Asset_5,USD,92.81,
2024-01-26,Asset_5,USD,92.55,
2024-01-29,Asset_5,USD,91.75,
2024-01-30,Asset_5,USD,90.67,
2024-01-31,Asset_5,USD,90.2,
02/01/2024,Asset_5,USD,93.28,
2024-02-02,Asset_5,USD,92.98,
20240205,Asset_5,USD,92.63,
2024-02-06,Asset_5,USD,89.28,
2024-02-07,Asset_5,USD,88.15,
2024-02-08,Asset_5,USD,88.04,
2024-02-09,Asset_5,USD,86.59,
2024-02-12,Asset_5,USD,86.18,
2024-02-13,Asset_5,USD,87.76,
2024-02-14,asset_5 ,USD,89.43,
2024-02-15,Asset_5,USD,89.8,
2024-02-16,Asset_5,USD,91.91,
2024-02-19,asset_5,USD,92.49,
2024-02-20,Asset_5,USD,93.29,
21-02-2024,Asset_5,USD,92.47,
2024-02-22,Asset_5,USD,95.88,
2024-02-23,Asset_5,USD,94.67,
2024-02-26,Asset_5,USD,91.55,
2024-02-27,Asset_5,USD,93.38,
2024-02-28,Asset_5,USD,92.37,
2024-02-29,Asset_5,USD,91.48,
2024-03-01,Asset_5,USD,93.84,
2024-03-04,Asset_5,USD,97.05,
2024-03-05,Asset_5,usd,92.06,
2024-03-06,ASSET_5,USD,88.51,
2024-03-07,Asset_5,USD,85.19,
2024-03-08,Asset_5,USD,84.6,
2024-03-11,Asset_5,USD,85.08,
20240312,Asset_5,USD,83.95,
2024-03-13,Asset_5,USD,80.59,
2024-03-14,ASSET_5 ,USD,80.56,
2024-03-15,Asset_5,USD,80.24,
2024-03-18,Asset_5,USD,81.91,
2024-03-19,Asset_5,USD ,83.44,
2024-03-20,Asset_5,USD ,84.16,
2024-03-21,Asset_5,USD,84.7,
2024-03-22,Asset_5,USD,82580.0,
2024-03-25,Asset_5,USD ,81.41,
2024-03-26,Asset_5,USD,80.28,
2024-03-27,Asset_5,USD,78.41,
2024-03-28,Asset_5,USD,80.42,
2024-03-29,Asset_5,usd,78.53,
2024-04-01,Asset_5,USD,76.41,
2024-04-02,Asset_5,USD,76.11,
2024-04-03,Asset_5,USD,76.9,
2024-04-04,Asset_5,USD,78.26,
2024-04-05,Asset_5,USD,77.44,
2024-04-08,Asset_5,USD,77.53,
2024-04-09,Asset_5,USD,76.27,
2024-04-10,Asset_5,USD,79.18,
2024-04-11,Asset_5,USD,77.43,
2024-04-12,Asset_5,USD,76.75,
2024-04-15,Asset_5,USD,75.18,
2024-04-16,Asset_5,USD,74.09,
2024-04-17,Asset_5,USD,76.66,
2024-04-18,Asset_5,USD,76.16,
2024-04-19,Asset_5,USD,79.59,
2024-04-22,ASSET_5 ,USD,79.61,
2024-04-23,Asset_5,USD,78.46,
2024-04-24,Asset_5,USD,79.8,
2024-04-25,Asset_5,USD,78.47,
2024-04-26,Asset_5,USD,76.62,
2024-04-29,Asset_5,USD,75.52,
2024-04-30,Asset_5,USD,75.16,
2024-05-01,Asset_5,USD,74.3,
2024-05-02,Asset_5,USD,75.93,
2024-05-03,Asset_5,USD,76.71,
2024-05-06,Asset_5,USD,78.59,
2024-05-07,Asset_5,USD,77.7,
2024-05-08,Asset_5,USD,79.5,
2024-05-09,Asset_5,USD,79.42,
2024-05-10,Asset_5,USD,79.27,
2024-05-13,Asset_5,USD,79.01,
2024-05-14,Asset_5,USD,81.55,
2024-05-15,Asset_5,USD,77.65,
2024-05-16,Asset_5,USD,77.96,
2024-05-17,Asset_5,USD,78.52,
2024-05-20,Asset_5,USD,77.54,
2024-05-21,Asset_5,USD,78.99,
2024-05-22,Asset_5,USD,82.37,
2024-05-23,Asset_5,USD,79.88,
20240524,Asset_5,USD,79.89,
2024-05-27,Asset_5,USD,83.12,
2024-05-28,Asset_5,USD ,80.72,
2024-05-29,ASSET_5 ,usd,82.55,
2024-05-30,Asset_5,USD,83.35,
2024-05-31,Asset_5,USD,80.32,
2024-06-03,Asset_5,USD,82.91,
2024-06-04,Asset_5,USD,82.12,
20240605,Asset_5,USD,80.44,
2024-06-06,Asset_5,usd,82.05,
2024-06-07,Asset_5,USD,80.85,
2024-06-10,Asset_5,USD,82.04,
2024-06-11,asset_5 ,USD,82.09,
2024-06-12,Asset_5,USD,80.54,
2024-06-13,Asset_5,USD,81.03,
2024-06-14,Asset_5,USD,82.35,
2024-06-17,Asset_5,USD,81.33,
2024-06-18,Asset_5,USD,84.25,
2024-06-19,Asset_5,USD,82.56,
2024-06-20,Asset_5,USD,83.12,
2024-06-21,Asset_5,USD,81.0,
2024-06-24,Asset_5,USD,79.44,
2024-06-25,Asset_5,USD,78.43,
